2025-06-16 13:51:36.122 | SUCCESS  | General_Functions:Eliminar_acentos:259 - Proceso de eliminación de acentos completado con éxito.
2025-06-16 13:51:36.123 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Eliminar_acentos: 0.013055562973022461 segundos
2025-06-16 13:51:36.125 | INFO     | General_Functions:Eliminar_acentos:251 - Iniciando proceso de eliminación de acentos...
2025-06-16 13:51:36.138 | SUCCESS  | General_Functions:Eliminar_acentos:259 - Proceso de eliminación de acentos completado con éxito.
2025-06-16 13:51:36.138 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Eliminar_acentos: 0.013234853744506836 segundos
2025-06-16 13:51:36.138 | INFO     | General_Functions:Eliminar_acentos:251 - Iniciando proceso de eliminación de acentos...
2025-06-16 13:51:36.149 | SUCCESS  | General_Functions:Eliminar_acentos:259 - Proceso de eliminación de acentos completado con éxito.
2025-06-16 13:51:36.149 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Eliminar_acentos: 0.010285615921020508 segundos
2025-06-16 13:51:36.162 | INFO     | General_Functions:Eliminar_acentos:251 - Iniciando proceso de eliminación de acentos...
2025-06-16 13:51:36.187 | SUCCESS  | General_Functions:Eliminar_acentos:259 - Proceso de eliminación de acentos completado con éxito.
2025-06-16 13:51:36.187 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Eliminar_acentos: 0.02548956871032715 segundos
2025-06-16 13:51:36.187 | INFO     | Trasformation_functions:eliminar_primeras_n_filas:52 - Eliminación de filas de todos los dataframes: 
2025-06-16 13:51:36.194 | SUCCESS  | Trasformation_functions:eliminar_primeras_n_filas:60 - Eliminación de filas completa.
2025-06-16 13:51:36.196 | INFO     | Trasformation_functions:Asignar_col_nula:226 - Proceso para agregar las columnas ['Gasto_Prom_Comercializadores', 'Formato', 'Formato N.I.F'] en la consulta consultas_no_ds iniciado:
2025-06-16 13:51:36.202 | SUCCESS  | Trasformation_functions:Asignar_col_nula:232 - Columnas asignadas con exito
2025-06-16 13:51:36.202 | INFO     | Trasformation_functions:Asignar_col_nula:226 - Proceso para agregar las columnas ['Formato'] en la consulta consultas_ds iniciado:
2025-06-16 13:51:36.211 | SUCCESS  | Trasformation_functions:Asignar_col_nula:232 - Columnas asignadas con exito
2025-06-16 13:51:36.212 | INFO     | Trasformation_functions:Asignar_col_nula:226 - Proceso para agregar las columnas ['Gasto_Prom_Comercializadores'] en la consulta consultas_cadenas iniciado:
2025-06-16 13:51:36.216 | SUCCESS  | Trasformation_functions:Asignar_col_nula:232 - Columnas asignadas con exito
2025-06-16 13:51:36.787 | SUCCESS  | Trasformation_functions:Renombrar_columnas_con_diccionario:82 - Proceso de renombrar columnas satisfactorio: 
2025-06-16 13:51:36.800 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Renombrar_columnas_con_diccionario: 0.32960033416748047 segundos
2025-06-16 13:51:36.997 | SUCCESS  | Trasformation_functions:Renombrar_columnas_con_diccionario:82 - Proceso de renombrar columnas satisfactorio: 
2025-06-16 13:51:37.000 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Renombrar_columnas_con_diccionario: 0.15208983421325684 segundos
2025-06-16 13:51:37.066 | SUCCESS  | Trasformation_functions:Renombrar_columnas_con_diccionario:82 - Proceso de renombrar columnas satisfactorio: 
2025-06-16 13:51:37.066 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Renombrar_columnas_con_diccionario: 0.06623482704162598 segundos
2025-06-16 13:51:37.196 | SUCCESS  | Trasformation_functions:Renombrar_columnas_con_diccionario:82 - Proceso de renombrar columnas satisfactorio: 
2025-06-16 13:51:37.212 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Renombrar_columnas_con_diccionario: 0.13373875617980957 segundos
2025-06-16 13:51:37.215 | INFO     | Trasformation_functions:concatenate_dataframes_from_dict:24 - Proceso de concatenación de dataframes.
2025-06-16 13:51:37.373 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de concatenate_dataframes_from_dict: 0.15736651420593262 segundos
2025-06-16 13:51:38.225 | SUCCESS  | General_Functions:Procesar_configuracion:28 - Proceso de obtención de configuración satisfactorio
2025-06-16 13:51:38.225 | INFO     | General_Functions:Lectura_insumos_excel:72 - Inicio lectura Driver_NO_DS.xlsx Hoja Hoja1
2025-06-16 13:51:38.266 | SUCCESS  | General_Functions:Lectura_insumos_excel:80 - Lectura de Driver_NO_DS.xlsx Hoja: Hoja1 realizada con éxito
2025-06-16 13:51:38.266 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Lectura_insumos_excel: 0.040917396545410156 segundos
2025-06-16 13:51:38.266 | INFO     | General_Functions:Lectura_insumos_excel:72 - Inicio lectura Driver_DS.xlsx Hoja Hoja1
2025-06-16 13:51:38.402 | SUCCESS  | General_Functions:Lectura_insumos_excel:80 - Lectura de Driver_DS.xlsx Hoja: Hoja1 realizada con éxito
2025-06-16 13:51:38.402 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Lectura_insumos_excel: 0.1354057788848877 segundos
2025-06-16 13:51:38.407 | INFO     | General_Functions:Lectura_insumos_excel:72 - Inicio lectura Driver_Cadenas.xlsx Hoja Hoja1
2025-06-16 13:51:38.432 | SUCCESS  | General_Functions:Lectura_insumos_excel:80 - Lectura de Driver_Cadenas.xlsx Hoja: Hoja1 realizada con éxito
2025-06-16 13:51:38.432 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Lectura_insumos_excel: 0.024670839309692383 segundos
2025-06-16 13:51:38.432 | INFO     | General_Functions:Eliminar_acentos:251 - Iniciando proceso de eliminación de acentos...
2025-06-16 13:51:38.447 | SUCCESS  | General_Functions:Eliminar_acentos:259 - Proceso de eliminación de acentos completado con éxito.
2025-06-16 13:51:38.447 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Eliminar_acentos: 0.014729022979736328 segundos
2025-06-16 13:51:38.447 | INFO     | General_Functions:Eliminar_acentos:251 - Iniciando proceso de eliminación de acentos...
2025-06-16 13:51:38.466 | SUCCESS  | General_Functions:Eliminar_acentos:259 - Proceso de eliminación de acentos completado con éxito.
2025-06-16 13:51:38.472 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Eliminar_acentos: 0.025314807891845703 segundos
2025-06-16 13:51:38.472 | INFO     | General_Functions:Eliminar_acentos:251 - Iniciando proceso de eliminación de acentos...
2025-06-16 13:51:38.478 | SUCCESS  | General_Functions:Eliminar_acentos:259 - Proceso de eliminación de acentos completado con éxito.
2025-06-16 13:51:38.478 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Eliminar_acentos: 0.0062334537506103516 segundos
2025-06-16 13:51:40.043 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Reemplazos_multiples_columnas: 1.2173233032226562 segundos
2025-06-16 13:51:40.066 | INFO     | Trasformation_functions:Reemplazar_columna_en_funcion_de_otra:130 - Inicio de remplazamiento de datos en Segmento_Agrup
2025-06-16 13:51:40.091 | SUCCESS  | Trasformation_functions:Reemplazar_columna_en_funcion_de_otra:136 - Proceso de remplazamiento en Segmento_Agrup exitoso
2025-06-16 13:51:40.091 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Reemplazar_columna_en_funcion_de_otra: 0.024884462356567383 segundos
2025-06-16 13:51:41.332 | INFO     | Trasformation_functions:Reemplazar_columna_en_funcion_de_otra:130 - Inicio de remplazamiento de datos en Segmento_Agrup
2025-06-16 13:51:41.375 | SUCCESS  | Trasformation_functions:Reemplazar_columna_en_funcion_de_otra:136 - Proceso de remplazamiento en Segmento_Agrup exitoso
2025-06-16 13:51:41.375 | INFO     | General_Functions:wrapper:42 - Tiempo de ejecución de Reemplazar_columna_en_funcion_de_otra: 0.043126583099365234 segundos
2025-06-16 13:51:41.783 | INFO     | Trasformation_functions:Reemplazar_columna_en_funcion_de_otra:130 - Inicio de remplazamiento de datos en Segmento_Agrup
